case_number,year,country,area,location,activity,sex,age,injured_part,fatal,time,species
1927.05.29,1927,PHILIPPINES,Luzon Island,Bondoc Peninsula,Sea disaster,Unknown,Unknown,Unknown,Y,Unknown,Unknown
2000.09.16.b,2000,JAPAN,Miyako Island,Sunayama Beach,Surfing,M,31,Unknown,Y,17,white shark
1971.09.05,1971,AUSTRALIA,South Australia,Adelaide,Fishing,M,51,Unknown,Y,Unknown,Unknown
1984.03.17,1984,SOMALIA,Unknown,Unknown,Murder,M,Unknown,Unknown,Y,Unknown,Unknown
1853.00.00.b,1853,USA,South Carolina,Off the Battery,He was fighting a shark when his boat capsized & he disappeared,M,Unknown,Unknown,Y,Unknown,Unknown
1805.09.00,1805,USA,New York,"Sag Harbor, Suffolk County",Unknown,M,Unknown,Unknown,Y,Unknown,Unknown
1909.04.10,1909,USA,Hawaii,"Pa'uwela, Maui",Reported swept away by waves while gathering opihi,F,19,Unknown,Y,Unknown,Unknown
1956.05.00,1956,AUSTRALIA,Torres Strait,Unknown,Diving,Unknown,Unknown,Unknown,N,Unknown,Unknown
1878.03.30.R,1878,NEW GUINEA,Unknown,Unknown,Unknown,M,Unknown,Unknown,N,Unknown,Unknown
1758.00.00,1758,MEDITERRANEAN SEA,Unknown,Unknown,"Fell overboard from a frigate & was swallowed by a shark. The captain fired a gun at the shark, and ""the creature cast the man out of his throat.""",M,Unknown,Unknown,N,Unknown,Unknown
1938.00.00.a,1938,SOUTH AFRICA,KwaZulu-Natal,"Bilanhlolo River Mouth, Ramsgate",Swimming,M,Unknown,Unknown,N,Unknown,Unknown
1881.00.00.b,1881,INDIA,Unknown,"At Panihattu, Barrackpore, Dackhineshwar, Barahonagore, Kashipur & Chitpur down to Baug Bazar ghats",Unknown,Unknown,Unknown,Unknown,Y,Unknown,Unknown
1931.08.30,1931,USA,Hawaii,Unknown,Unknown,M,Unknown,Unknown,Y,Unknown,Unknown
1902.06.02,1902,PHILIPPINES,Zamboanga del Sur Province,"Near mouth of River Cumalarang, 5 miles from Port Isabela, Basilan Island",Unknown,M,Unknown,face,N,Unknown,Unknown
1894.06.29,1894,USA,Florida,Anastasia Island,Bathing,M,Unknown,Unknown,Unknown,Unknown,Unknown
1920.00.00.b,1920,NEW ZEALAND,North Island,"Stanley Bay, Auckland Harbor",Unknown,F,Unknown,Unknown,N,Unknown,Unknown
1835.01.06,1835,TASMAN SEA,35ï¿½ï¿½ï¿½ï¿½,Alongside the whaler Marianne,Hooking into a whale,M,Unknown,Unknown,N,Unknown,Unknown
1861.03.00,1861,NEW ZEALAND,North Island,"Wynyard Wharf, Auckland Harbor",Bathing,M,Unknown,Unknown,N,Unknown,Unknown
1916.11.15,1916,PANAMA,Unknown,Panama Canal,Unknown,M,Unknown,Unknown,N,Unknown,Unknown
